state_abbr,state_fips,unit_label,unit_name,unit_fips,total_registered,as_of_date,source_quality
AK,02,house district,House District 01,,15061,2026-05-03,complete
AK,02,house district,House District 02,,15847,2026-05-03,complete
AK,02,house district,House District 03,,16630,2026-05-03,complete
AK,02,house district,House District 04,,14892,2026-05-03,complete
AK,02,house district,House District 05,,13742,2026-05-03,complete
AK,02,house district,House District 06,,18233,2026-05-03,complete
AK,02,house district,House District 07,,16756,2026-05-03,complete
AK,02,house district,House District 08,,17405,2026-05-03,complete
AK,02,house district,House District 09,,16198,2026-05-03,complete
AK,02,house district,House District 10,,15000,2026-05-03,complete
AK,02,house district,House District 11,,15144,2026-05-03,complete
AK,02,house district,House District 12,,14949,2026-05-03,complete
AK,02,house district,House District 13,,15078,2026-05-03,complete
AK,02,house district,House District 14,,14275,2026-05-03,complete
AK,02,house district,House District 15,,15342,2026-05-03,complete
AK,02,house district,House District 16,,15567,2026-05-03,complete
AK,02,house district,House District 17,,14649,2026-05-03,complete
AK,02,house district,House District 18,,11195,2026-05-03,complete
AK,02,house district,House District 19,,12986,2026-05-03,complete
AK,02,house district,House District 20,,13888,2026-05-03,complete
AK,02,house district,House District 21,,15667,2026-05-03,complete
AK,02,house district,House District 22,,14056,2026-05-03,complete
AK,02,house district,House District 23,,16334,2026-05-03,complete
AK,02,house district,House District 24,,15717,2026-05-03,complete
AK,02,house district,House District 25,,16992,2026-05-03,complete
AK,02,house district,House District 26,,16589,2026-05-03,complete
AK,02,house district,House District 27,,16792,2026-05-03,complete
AK,02,house district,House District 28,,16118,2026-05-03,complete
AK,02,house district,House District 29,,16939,2026-05-03,complete
AK,02,house district,House District 30,,17534,2026-05-03,complete
AK,02,house district,House District 31,,13812,2026-05-03,complete
AK,02,house district,House District 32,,11395,2026-05-03,complete
AK,02,house district,House District 33,,16225,2026-05-03,complete
AK,02,house district,House District 34,,15626,2026-05-03,complete
AK,02,house district,House District 35,,15459,2026-05-03,complete
AK,02,house district,House District 36,,15972,2026-05-03,complete
AK,02,house district,House District 37,,9850,2026-05-03,complete
AK,02,house district,House District 38,,10834,2026-05-03,complete
AK,02,house district,House District 39,,10405,2026-05-03,complete
AK,02,house district,House District 40,,8974,2026-05-03,complete
AL,01,county,Autauga,01001,46258,2026-04-30,complete
AL,01,county,Baldwin,01003,209727,2026-04-30,complete
AL,01,county,Barbour,01005,16909,2026-04-30,complete
AL,01,county,Bibb,01007,14967,2026-04-30,complete
AL,01,county,Blount,01009,43296,2026-04-30,complete
AL,01,county,Bullock,01011,6857,2026-04-30,complete
AL,01,county,Butler,01013,14187,2026-04-30,complete
AL,01,county,Calhoun,01015,82977,2026-04-30,complete
AL,01,county,Chambers,01017,26472,2026-04-30,complete
AL,01,county,Cherokee,01019,21140,2026-04-30,complete
AL,01,county,Chilton,01021,31732,2026-04-30,complete
AL,01,county,Choctaw,01023,10339,2026-04-30,complete
AL,01,county,Clarke,01025,18496,2026-04-30,complete
AL,01,county,Clay,01027,10472,2026-04-30,complete
AL,01,county,Cleburne,01029,12291,2026-04-30,complete
AL,01,county,Coffee,01031,39291,2026-04-30,complete
AL,01,county,Colbert,01033,45302,2026-04-30,complete
AL,01,county,Conecuh,01035,9700,2026-04-30,complete
AL,01,county,Coosa,01037,8139,2026-04-30,complete
AL,01,county,Covington,01039,28891,2026-04-30,complete
AL,01,county,Crenshaw,01041,10873,2026-04-30,complete
AL,01,county,Cullman,01043,66645,2026-04-30,complete
AL,01,county,Dale,01045,36315,2026-04-30,complete
AL,01,county,Dallas,01047,28241,2026-04-30,complete
AL,01,county,DeKalb,01049,47822,2026-04-30,complete
AL,01,county,Elmore,01051,63922,2026-04-30,complete
AL,01,county,Escambia,01053,28124,2026-04-30,complete
AL,01,county,Etowah,01055,76568,2026-04-30,complete
AL,01,county,Fayette,01057,12718,2026-04-30,complete
AL,01,county,Franklin,01059,19663,2026-04-30,complete
AL,01,county,Geneva,01061,20462,2026-04-30,complete
AL,01,county,Greene,01063,6336,2026-04-30,complete
AL,01,county,Hale,01065,11880,2026-04-30,complete
AL,01,county,Henry,01067,14609,2026-04-30,complete
AL,01,county,Houston,01069,80093,2026-04-30,complete
AL,01,county,Jackson,01071,40512,2026-04-30,complete
AL,01,county,Jefferson,01073,491083,2026-04-30,complete
AL,01,county,Lamar,01075,10925,2026-04-30,complete
AL,01,county,Lauderdale,01077,70528,2026-04-30,complete
AL,01,county,Lawrence,01079,25791,2026-04-30,complete
AL,01,county,Lee,01081,131758,2026-04-30,complete
AL,01,county,Limestone,01083,85891,2026-04-30,complete
AL,01,county,Lowndes,01085,9401,2026-04-30,complete
AL,01,county,Macon,01087,14968,2026-04-30,complete
AL,01,county,Madison,01089,329016,2026-04-30,complete
AL,01,county,Marengo,01091,14962,2026-04-30,complete
AL,01,county,Marion,01093,22210,2026-04-30,complete
AL,01,county,Marshall,01095,68052,2026-04-30,complete
AL,01,county,Mobile,01097,307513,2026-04-30,complete
AL,01,county,Monroe,01099,15765,2026-04-30,complete
AL,01,county,Montgomery,01101,157651,2026-04-30,complete
AL,01,county,Morgan,01103,87540,2026-04-30,complete
AL,01,county,Perry,01105,7335,2026-04-30,complete
AL,01,county,Pickens,01107,13684,2026-04-30,complete
AL,01,county,Pike,01109,23325,2026-04-30,complete
AL,01,county,Randolph,01111,19221,2026-04-30,complete
AL,01,county,Russell,01113,44000,2026-04-30,complete
AL,01,county,Shelby,01117,180345,2026-04-30,complete
AL,01,county,St. Clair,01115,73358,2026-04-30,complete
AL,01,county,Sumter,01119,8974,2026-04-30,complete
AL,01,county,Talladega,01121,60215,2026-04-30,complete
AL,01,county,Tallapoosa,01123,31812,2026-04-30,complete
AL,01,county,Tuscaloosa,01125,145746,2026-04-30,complete
AL,01,county,Walker,01127,49061,2026-04-30,complete
AL,01,county,Washington,01129,13462,2026-04-30,complete
AL,01,county,Wilcox,01131,8233,2026-04-30,complete
AL,01,county,Winston,01133,17591,2026-04-30,complete
AR,05,county,Arkansas,05001,9137,2024-11-05,complete
AR,05,county,Ashley,05003,10336,2024-11-05,complete
AR,05,county,Baxter,05005,30823,2024-11-05,complete
AR,05,county,Benton,05007,193492,2024-11-05,complete
AR,05,county,Boone,05009,25164,2024-11-05,complete
AR,05,county,Bradley,05011,5211,2024-11-05,complete
AR,05,county,Calhoun,05013,2943,2024-11-05,complete
AR,05,county,Carroll,05015,16552,2024-11-05,complete
AR,05,county,Chicot,05017,5714,2024-11-05,complete
AR,05,county,Clark,05019,12839,2024-11-05,complete
AR,05,county,Clay,05021,7671,2024-11-05,complete
AR,05,county,Cleburne,05023,18252,2024-11-05,complete
AR,05,county,Cleveland,05025,4853,2024-11-05,complete
AR,05,county,Columbia,05027,12145,2024-11-05,complete
AR,05,county,Conway,05029,12583,2024-11-05,complete
AR,05,county,Craighead,05031,58517,2024-11-05,complete
AR,05,county,Crawford,05033,36345,2024-11-05,complete
AR,05,county,Crittenden,05035,28441,2024-11-05,complete
AR,05,county,Cross,05037,9701,2024-11-05,complete
AR,05,county,Dallas,05039,4212,2024-11-05,complete
AR,05,county,Desha,05041,6979,2024-11-05,complete
AR,05,county,Drew,05043,10707,2024-11-05,complete
AR,05,county,Faulkner,05045,78723,2024-11-05,complete
AR,05,county,Franklin,05047,10691,2024-11-05,complete
AR,05,county,Fulton,05049,7307,2024-11-05,complete
AR,05,county,Garland,05051,63951,2024-11-05,complete
AR,05,county,Grant,05053,11446,2024-11-05,complete
AR,05,county,Greene,05055,24086,2024-11-05,complete
AR,05,county,Hempstead,05057,9145,2024-11-05,complete
AR,05,county,Hot Spring,05059,18518,2024-11-05,complete
AR,05,county,Howard,05061,7460,2024-11-05,complete
AR,05,county,Independence,05063,21207,2024-11-05,complete
AR,05,county,Izard,05065,10480,2024-11-05,complete
AR,05,county,Jackson,05067,7473,2024-11-05,complete
AR,05,county,Jefferson,05069,37163,2024-11-05,complete
AR,05,county,Johnson,05071,14599,2024-11-05,complete
AR,05,county,Lafayette,05073,3540,2024-11-05,complete
AR,05,county,Lawrence,05075,8525,2024-11-05,complete
AR,05,county,Lee,05077,4059,2024-11-05,complete
AR,05,county,Lincoln,05079,5121,2024-11-05,complete
