state_abbr,unit_name,unit_fips,party,registered
AK,House District 01,,Republican,3675
AK,House District 01,,Democratic,1504
AK,House District 01,,Undeclared,7532
AK,House District 01,,Nonpartisan,2140
AK,House District 01,,Other,210
AK,House District 02,,Republican,3184
AK,House District 02,,Democratic,2430
AK,House District 02,,Undeclared,7716
AK,House District 02,,Nonpartisan,2297
AK,House District 02,,Other,220
AK,House District 03,,Republican,2846
AK,House District 03,,Democratic,2770
AK,House District 03,,Undeclared,7753
AK,House District 03,,Nonpartisan,3012
AK,House District 03,,Other,249
AK,House District 04,,Republican,1833
AK,House District 04,,Democratic,3135
AK,House District 04,,Undeclared,7004
AK,House District 04,,Nonpartisan,2703
AK,House District 04,,Other,217
AK,House District 05,,Republican,3212
AK,House District 05,,Democratic,1626
AK,House District 05,,Undeclared,6965
AK,House District 05,,Nonpartisan,1741
AK,House District 05,,Other,198
AK,House District 06,,Republican,5122
AK,House District 06,,Democratic,1977
AK,House District 06,,Undeclared,8129
AK,House District 06,,Nonpartisan,2659
AK,House District 06,,Other,346
AK,House District 07,,Republican,5403
AK,House District 07,,Democratic,1052
AK,House District 07,,Undeclared,7928
AK,House District 07,,Nonpartisan,2122
AK,House District 07,,Other,251
AK,House District 08,,Republican,6172
AK,House District 08,,Democratic,1041
AK,House District 08,,Undeclared,7617
AK,House District 08,,Nonpartisan,2297
AK,House District 08,,Other,278
AK,House District 09,,Republican,4326
AK,House District 09,,Democratic,2139
AK,House District 09,,Undeclared,6776
AK,House District 09,,Nonpartisan,2737
AK,House District 09,,Other,220
AK,House District 10,,Republican,3405
AK,House District 10,,Democratic,1872
AK,House District 10,,Undeclared,7425
AK,House District 10,,Nonpartisan,2054
AK,House District 10,,Other,244
AK,House District 11,,Republican,3797
AK,House District 11,,Democratic,1911
AK,House District 11,,Undeclared,6927
AK,House District 11,,Nonpartisan,2300
AK,House District 11,,Other,209
AK,House District 12,,Republican,3067
AK,House District 12,,Democratic,2014
AK,House District 12,,Undeclared,7490
AK,House District 12,,Nonpartisan,2111
AK,House District 12,,Other,267
AK,House District 13,,Republican,2830
AK,House District 13,,Democratic,2119
AK,House District 13,,Undeclared,7895
AK,House District 13,,Nonpartisan,1960
AK,House District 13,,Other,274
AK,House District 14,,Republican,2073
AK,House District 14,,Democratic,2419
AK,House District 14,,Undeclared,7232
AK,House District 14,,Nonpartisan,2274
AK,House District 14,,Other,277
AK,House District 15,,Republican,3621
AK,House District 15,,Democratic,1912
AK,House District 15,,Undeclared,7348
AK,House District 15,,Nonpartisan,2218
AK,House District 15,,Other,243
AK,House District 16,,Republican,2919
AK,House District 16,,Democratic,2444
AK,House District 16,,Undeclared,7441
AK,House District 16,,Nonpartisan,2514
AK,House District 16,,Other,249
AK,House District 17,,Republican,2039
AK,House District 17,,Democratic,2931
AK,House District 17,,Undeclared,7098
AK,House District 17,,Nonpartisan,2322
AK,House District 17,,Other,259
AK,House District 18,,Republican,2672
AK,House District 18,,Democratic,1372
AK,House District 18,,Undeclared,5379
AK,House District 18,,Nonpartisan,1517
AK,House District 18,,Other,255
AK,House District 19,,Republican,1455
AK,House District 19,,Democratic,2133
AK,House District 19,,Undeclared,7464
AK,House District 19,,Nonpartisan,1616
AK,House District 19,,Other,318
AK,House District 20,,Republican,2341
AK,House District 20,,Democratic,2186
AK,House District 20,,Undeclared,7098
AK,House District 20,,Nonpartisan,1960
AK,House District 20,,Other,303
AK,House District 21,,Republican,2971
AK,House District 21,,Democratic,2449
AK,House District 21,,Undeclared,7618
AK,House District 21,,Nonpartisan,2345
AK,House District 21,,Other,284
AK,House District 22,,Republican,2169
AK,House District 22,,Democratic,2049
AK,House District 22,,Undeclared,7881
AK,House District 22,,Nonpartisan,1685
AK,House District 22,,Other,272
AK,House District 23,,Republican,5141
AK,House District 23,,Democratic,1655
AK,House District 23,,Undeclared,6781
AK,House District 23,,Nonpartisan,2472
AK,House District 23,,Other,285
AK,House District 24,,Republican,5149
AK,House District 24,,Democratic,1274
AK,House District 24,,Undeclared,6825
AK,House District 24,,Nonpartisan,2192
AK,House District 24,,Other,277
AK,House District 25,,Republican,5383
AK,House District 25,,Democratic,1227
AK,House District 25,,Undeclared,7595
AK,House District 25,,Nonpartisan,2509
AK,House District 25,,Other,278
AK,House District 26,,Republican,5728
AK,House District 26,,Democratic,862
AK,House District 26,,Undeclared,7682
AK,House District 26,,Nonpartisan,2020
AK,House District 26,,Other,297
AK,House District 27,,Republican,5613
AK,House District 27,,Democratic,870
AK,House District 27,,Undeclared,8096
AK,House District 27,,Nonpartisan,1925
AK,House District 27,,Other,288
AK,House District 28,,Republican,5449
AK,House District 28,,Democratic,979
AK,House District 28,,Undeclared,7351
AK,House District 28,,Nonpartisan,2056
AK,House District 28,,Other,283
AK,House District 29,,Republican,5714
AK,House District 29,,Democratic,1016
AK,House District 29,,Undeclared,7682
AK,House District 29,,Nonpartisan,2222
AK,House District 29,,Other,305
AK,House District 30,,Republican,5579
AK,House District 30,,Democratic,1166
AK,House District 30,,Undeclared,8131
AK,House District 30,,Nonpartisan,2350
AK,House District 30,,Other,308
AK,House District 31,,Republican,2788
AK,House District 31,,Democratic,1879
AK,House District 31,,Undeclared,7152
AK,House District 31,,Nonpartisan,1748
AK,House District 31,,Other,245
AK,House District 32,,Republican,3041
AK,House District 32,,Democratic,1127
