state,abbr,fips,statewide_total_registered,as_of_date,registers_by_party,county_unit_label,county_count,data_quality,source_url
Alaska,AK,02,594127,2026-05-03,True,house district,40,complete,https://www.elections.alaska.gov/statistics/2026/MAY/VOTERS%20BY%20PARTY%20AND%20PRECINCT.htm
Alabama,AL,01,3801642,2026-04-30,False,county,67,complete,https://www.sos.alabama.gov/sites/default/files/election-data/2026-05/ALVR-2026.xlsx
Arkansas,AR,05,1835723,2024-11-05,False,county,75,complete,https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_V2.xlsx
Arizona,AZ,04,4964565,2026-04-01,True,county,15,complete,https://apps.azsos.gov/election/VoterReg/2026/State-Voter-Registration-April-2026.csv
California,CA,06,23155447,2026-05-18,True,county,58,complete,https://www.sos.ca.gov/elections/report-registration/15day-primary-2026
Colorado,CO,08,4658731,2026-06-01,True,county,64,complete,https://www.coloradosos.gov/pubs/elections/VoterRegNumbers/2026/MayStatistics2026.xlsx
Connecticut,CT,09,2503192,2025-10-17,True,town,169,complete,https://portal.ct.gov/-/media/sots/electionservices/2025/registration-and-enrollment/nov25re.pdf
District of Columbia,DC,11,481148,2026-05-31,True,ward,8,complete,"https://www.dcboe.org/data,-maps,-forms/voter-registration-statistics"
Delaware,DE,10,805335,2026-06-01,True,county,3,complete,https://elections.delaware.gov/voter/registrationtotals/pdfs/vrt_PP20260601.pdf
Florida,FL,12,13374067,2026-05-31,True,county,67,complete,https://dos.fl.gov/elections/data-statistics/voter-registration-statistics/voter-registration-reports/voter-registration-by-county-and-party
Georgia,GA,13,8234335,2024-11-05,False,county,159,complete,https://www.eac.gov/research-and-data/studies-and-reports/eavs-data-interactive
Hawaii,HI,15,860868,2024-11-05,False,county,4,high,https://elections.hawaii.gov/resources/registration-voter-turnout-statistics/
Iowa,IA,19,1797254,2026-06-01,True,county,99,high,https://sos.iowa.gov/elections/pdf/VRStatsArchive/2026/CoJun26.pdf
Idaho,ID,16,1029200,2026-06-01,True,county,44,high,https://voteidaho.gov/data-and-dashboards/voter-registration-totals/
Illinois,IL,17,8101424,2024-11-05,False,election jurisdiction,108,"high — statewide total is official ISBE-certified; per-jurisdiction breakdown is ISBE-sourced data via EAVS active registrations. Sum of the 108 per-jurisdiction active registrations = 8,115,252, which reconciles to the ISBE certified statewide total (8,101,424) within ~0.2%. Minor differences arise because EAVS 'active' counts differ slightly from the ISBE certification snapshot, and Christian County's active count was missing in EAVS (-99) so its total-registration figure (10,767) was substituted.",https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx
Indiana,IN,18,4837802,2024-11-05,False,county,92,high,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf
Kansas,KS,20,1999608,2025-11-01,True,county,105,"high - all 105 counties extracted via PDF text positional parsing; every county's party components sum exactly to its county total, and the aggregated statewide party totals and grand total match the report's printed Grand Total line exactly (Dem 495691, Lib 23772, No Labels Kansas 5955, Rep 897243, United Kansas 964, Unaffiliated 575983, Grand Total 1999608).",https://www.sos.ks.gov/elections/25elec/2025-11-01-Voter-Registration-Numbers-by-County.pdf
