county,fips,leader,leader_votes,leader_pct,second,second_votes,second_pct,total_votes,eevp,precincts_reporting_pct,last_updated,fetched_at
Appling County,13001,Burt Jones,1048,52.72,Rick Jackson,940,47.28,1988,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676804+00:00
Atkinson County,13003,Burt Jones,335,64.8,Rick Jackson,182,35.2,517,99.0,100.0,2026-06-17T02:19:22.097000Z,2026-06-17T02:45:30.676828+00:00
Bacon County,13005,Burt Jones,504,56.76,Rick Jackson,384,43.24,888,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676837+00:00
Baker County,13007,Burt Jones,156,62.4,Rick Jackson,94,37.6,250,99.0,100.0,2026-06-17T02:02:06.692000Z,2026-06-17T02:45:30.676844+00:00
Baldwin County,13009,Burt Jones,1873,60.03,Rick Jackson,1247,39.97,3120,99.0,100.0,2026-06-17T02:02:16.699000Z,2026-06-17T02:45:30.676854+00:00
Banks County,13011,Rick Jackson,1240,55.76,Burt Jones,984,44.24,2224,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676861+00:00
Barrow County,13013,Rick Jackson,3812,56.03,Burt Jones,2991,43.97,6803,99.0,100.0,2026-06-17T02:20:34.177000Z,2026-06-17T02:45:30.676867+00:00
Bartow County,13015,Rick Jackson,5834,54.39,Burt Jones,4892,45.61,10726,99.0,100.0,2026-06-17T02:19:53.584000Z,2026-06-17T02:45:30.676872+00:00
Ben Hill County,13017,Rick Jackson,557,52.06,Burt Jones,513,47.94,1070,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676877+00:00
Berrien County,13019,Rick Jackson,1187,53.52,Burt Jones,1031,46.48,2218,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676883+00:00
Bibb County,13021,Burt Jones,4591,56.39,Rick Jackson,3551,43.61,8142,99.0,100.0,2026-06-17T02:02:43.129000Z,2026-06-17T02:45:30.676888+00:00
Bleckley County,13023,Rick Jackson,742,50.2,Burt Jones,736,49.8,1478,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676892+00:00
Brantley County,13025,Burt Jones,1272,59.66,Rick Jackson,860,40.34,2132,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676897+00:00
Brooks County,13027,Burt Jones,726,66.06,Rick Jackson,373,33.94,1099,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676902+00:00
Bryan County,13029,Rick Jackson,1734,52.64,Burt Jones,1560,47.36,3294,99.0,100.0,2026-06-17T02:02:58.724000Z,2026-06-17T02:45:30.676910+00:00
Bulloch County,13031,Rick Jackson,3105,52.83,Burt Jones,2772,47.17,5877,99.0,100.0,2026-06-17T02:21:51.657000Z,2026-06-17T02:45:30.676916+00:00
Burke County,13033,Rick Jackson,741,50.41,Burt Jones,729,49.59,1470,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676921+00:00
Butts County,13035,Burt Jones,2821,76.28,Rick Jackson,877,23.72,3698,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676926+00:00
Calhoun County,13037,Burt Jones,124,51.24,Rick Jackson,118,48.76,242,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676931+00:00
Camden County,13039,Rick Jackson,1937,54.27,Burt Jones,1632,45.73,3569,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676937+00:00
Candler County,13043,Burt Jones,729,60.95,Rick Jackson,467,39.05,1196,99.0,100.0,2026-06-17T02:03:20.741000Z,2026-06-17T02:45:30.676945+00:00
Carroll County,13045,Rick Jackson,5738,52.55,Burt Jones,5181,47.45,10919,99.0,100.0,2026-06-17T02:22:06.636000Z,2026-06-17T02:45:30.676951+00:00
Catoosa County,13047,Burt Jones,3194,55.15,Rick Jackson,2597,44.85,5791,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676956+00:00
Charlton County,13049,Burt Jones,410,56.32,Rick Jackson,318,43.68,728,99.0,100.0,2026-06-17T02:03:31.725000Z,2026-06-17T02:45:30.676961+00:00
Chatham County,13051,Burt Jones,6975,50.89,Rick Jackson,6730,49.11,13705,99.0,100.0,2026-06-17T02:30:45.632000Z,2026-06-17T02:45:30.676968+00:00
Chattahoochee County,13053,Rick Jackson,109,63.37,Burt Jones,63,36.63,172,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676974+00:00
Chattooga County,13055,Burt Jones,950,53.13,Rick Jackson,838,46.87,1788,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.676979+00:00
Cherokee County,13057,Rick Jackson,18083,57.7,Burt Jones,13257,42.3,31340,87.56,100.0,2026-06-17T02:41:34.526000Z,2026-06-17T02:45:30.676985+00:00
Clarke County,13059,Rick Jackson,3090,53.57,Burt Jones,2678,46.43,5768,99.0,100.0,2026-06-17T02:03:43.796000Z,2026-06-17T02:45:30.676990+00:00
Clay County,13061,Burt Jones,81,57.86,Rick Jackson,59,42.14,140,99.0,100.0,2026-06-17T02:27:08.885000Z,2026-06-17T02:45:30.676995+00:00
Clayton County,13063,Rick Jackson,1588,55.66,Burt Jones,1265,44.34,2853,99.0,100.0,2026-06-17T02:39:34.154000Z,2026-06-17T02:45:30.677000+00:00
Clinch County,13065,Burt Jones,443,81.58,Rick Jackson,100,18.42,543,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677005+00:00
Cobb County,13067,Rick Jackson,27770,56.26,Burt Jones,21589,43.74,49359,99.0,100.0,2026-06-17T02:30:23.001000Z,2026-06-17T02:45:30.677010+00:00
Coffee County,13069,Burt Jones,1448,58.79,Rick Jackson,1015,41.21,2463,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677016+00:00
Colquitt County,13071,Burt Jones,2085,64.73,Rick Jackson,1136,35.27,3221,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677024+00:00
Columbia County,13073,Burt Jones,7283,51.14,Rick Jackson,6959,48.86,14242,99.0,100.0,2026-06-17T02:13:53.475000Z,2026-06-17T02:45:30.677030+00:00
Cook County,13075,Burt Jones,565,50.09,Rick Jackson,563,49.91,1128,99.0,100.0,2026-06-17T02:30:38.847000Z,2026-06-17T02:45:30.677034+00:00
Coweta County,13077,Rick Jackson,8602,55.59,Burt Jones,6873,44.41,15475,99.0,100.0,2026-06-17T02:16:06.360000Z,2026-06-17T02:45:30.677039+00:00
