source,dates,end,n,pop,kind,D,R,O,U,dan_j_sullivan,heikes
co/efficient (R),September 14-17 2026,2026-09-17,799,LV,head_to_head,46,49,0,5,,
Rasmussen Reports (R),September 13-14 2026,2026-09-14,1188,LV,first_choice,39,39,13,9,7,6
Alaska Survey Research,September 10-12 2026,2026-09-12,1352,LV,head_to_head,52,48,0,0,,
Fabrizio Ward/Impact Research,September 8-11 2026,2026-09-11,800,LV,head_to_head,53,47,0,0,,
Alaska Survey Research,August 20-23 2026,2026-08-23,1495,LV,head_to_head,51,49,0,0,,
Alaska Survey Research,August 2-5 2026,2026-08-05,1371,LV,head_to_head,51,49,0,0,,
Data for Progress (D),July 28 - August 4 2026,2026-08-04,578,LV,head_to_head,52,48,0,0,,
New York Times/Siena University,June 15-29 2026,2026-06-29,593,LV,first_choice,45,47,2,5,,
Alaska Survey Research,June 4-7 2026,2026-06-07,1393,LV,first_choice,49,44,7,0,,4
Alaska Survey Research,May 14-17 2026,2026-05-17,1401,LV,first_choice,48,44,8,0,,3
Alaska Survey Research,April 16-19 2026,2026-04-19,1946,LV,first_choice,49,43,8,0,,
Alaska Survey Research,March 19-22 2026,2026-03-22,1590,LV,first_choice,49,44,7,0,,
Public Policy Polling (D),January 16-17 2026,2026-01-17,611,V,head_to_head,49,47,0,4,,
Alaska Survey Research,January 8-11 2026,2026-01-11,1988,LV,head_to_head,48,46,0,6,,
Data for Progress (D),October 17-23 2025,2025-10-23,823,LV,first_choice,46,45,5,4,,
Alaska Survey Research,October 10-15 2025,2025-10-15,1708,LV,head_to_head,48,46,0,6,,
Alaska Survey Research,July 29 - August 1 2025,2025-08-01,1623,LV,head_to_head,42,47,0,11,,
Data for Progress (D),July 21-27 2025,2025-07-27,678,LV,first_choice,45,46,5,4,,
Alaska Survey Research,April 21-25 2023,2023-04-25,1261,LV,head_to_head,44,41,0,15,,
