source,dates,end,n,pop,R,D,O,U
Marist College,September 17-20 2026,2026-09-20,1050,RV,42,50,2,5
Trafalgar Group (R),September 16-18 2026,2026-09-18,1089,LV,44,42,3,10
co/efficient (R),September 14-16 2026,2026-09-16,831,LV,46,42,2,9
co/efficient (R),September 14-16 2026,2026-09-16,831,LV,48,43,0,9
Cygnal (R),September 9-11 2026,2026-09-11,500,LV,43,43,4,10
Rasmussen Reports (R),September 8-10 2026,2026-09-10,1031,LV,40,45,4,11
YouGov,September 3-8 2026,2026-09-08,2169,RV,43,44,3,11
YouGov,September 3-8 2026,2026-09-08,2041,LV,43,47,1,8
Emerson College,August 31 - September 1 2026,2026-09-01,750,LV,50,45,1,5
Global Strategy Group (D),August 27-31 2026,2026-08-31,800,LV,42,46,6,6
Wedgewood Polls,August 27-29 2026,2026-08-29,600,LV,50,48,0,2
Abacus Data,August 26-28 2026,2026-08-28,323,LV,45,54,1,0
Abacus Data,August 26-28 2026,2026-08-28,500,RV,46,52,2,0
Suffolk University,August 20-23 2026,2026-08-23,500,LV,45,41,4,10
Emerson College,August 2-4 2026,2026-08-04,712,LV,48,45,0,6
Beacon Research and Shaw & Co. Research bipartisan,June 23-27 2026,2026-06-27,1003,RV,46,50,0,4
New York Times/Siena University,June 15-27 2026,2026-06-27,600,LV,48,46,0,5
Cygnal (R),June 16-19 2026,2026-06-19,600,LV,46,44,0,10
Global Strategy Group (D),June 8-11 2026,2026-06-11,1000,LV,45,47,0,8
Public Policy Polling (D),June 3-4 2026,2026-06-04,557,RV,46,46,0,7
Echelon Insights (R),April 3-9 2026,2026-04-09,377,LV,45,46,0,9
GQR (D),March 10-16 2026,2026-03-16,1200,LV,47,43,0,11
Change Research (D),January 8-11 2026,2026-01-11,1108,LV,44,41,1,14
