source,dates,end,n,pop,R,D,O,U
Texas Public Opinion Research (D),September 19-22 2026,2026-09-22,1007,LV,44,49,4,3
Marist University,September 17-20 2026,2026-09-20,1139,RV,44,50,2,4
Texas Southern University,September 15-19 2026,2026-09-19,1800,LV,46,47,3,4
Trafalgar Group (R),September 15-17 2026,2026-09-17,1079,LV,45,46,3,6
Emerson College,September 12-14 2026,2026-09-14,1000,LV,46,47,2,4
SoCal Strategies,September 12-13 2026,2026-09-13,649,LV,45,50,0,5
ReconMR/Siena University,September 8-11 2026,2026-09-11,614,LV,43,49,4,4
Mason-Dixon Polling & Strategy,September 8-10 2026,2026-09-10,625,LV,43,46,3,8
InsiderAdvantage,September 8-9 2026,2026-09-09,1200,LV,46,47,2,5
Univision/YouGov,August 27 - September 4 2026,2026-09-04,1000,RV,43,48,1,7
Fabrizio Ward and Impact Research bipartisan,August 30 - September 1 2026,2026-09-01,895,LV,44,48,0,8
Overton Insights (R),August 24-26 2026,2026-08-26,1167,LV,50,50,0,0
Overton Insights (R),August 24-26 2026,2026-08-26,1167,LV,43,44,0,13
Texas Public Opinion Research (D),August 21-24 2026,2026-08-24,1000,LV,42,48,2,7
University of Texas/Texas Politics Project,August 5-13 2026,2026-08-13,1200,RV,39,42,4,14
Emerson College,August 9-10 2026,2026-08-10,1000,LV,47,46,2,5
Wedgewood Polls,July 30-31 2026,2026-07-31,800,LV,46,48,0,6
YouGov Blue (D),July 15-31 2026,2026-07-31,1001,RV,45,48,0,6
Texas A&M University/ReconMR/Siena University,July 27-30 2026,2026-07-30,619,LV,43,47,4,6
Texas Southern University,July 27-30 2026,2026-07-30,1200,LV,45,47,2,6
Beacon Research and Shaw & Co. Research bipartisan,July 23-27 2026,2026-07-27,1005,RV,48,51,0,3
Texas Public Opinion Research (D),July 15-17 2026,2026-07-17,1048,LV,40,45,1,14
A2 Insights,June 23-28 2026,2026-06-28,618,LV,46,48,3,3
New York Times/Siena University,June 19-27 2026,2026-06-27,656,LV,47,47,0,6
SoCal Strategies (R),June 21 2026,2026-06-21,800,LV,49,47,0,4
University of Texas/Texas Politics Project,June 5-12 2026,2026-06-12,1200,RV,43,42,6,10
Quantus Insights,June 3-4 2026,2026-06-04,800,LV,45,43,4,7
Texas A&M University/ReconMR/Siena University,June 1-4 2026,2026-06-04,807,LV,46,46,4,5
Texas Public Opinion Research (D),May 27-28 2026,2026-05-28,1670,LV,44,47,3,7
Public Policy Polling (D),May 22-23 2026,2026-05-23,643,RV,38,45,3,14
Texas Southern University,April 22 - May 6 2026,2026-05-06,1223,LV,45,45,2,8
Texas Public Opinion Research (D),April 17-20 2026,2026-04-20,1018,LV,41,46,0,9
University of Texas/Texas Politics Project,April 10-20 2026,2026-04-20,1200,RV,34,42,5,19
Impact Research (D),March 12-17 2026,2026-03-17,900,LV,43,44,5,7
Public Policy Polling (D),March 4-5 2026,2026-03-05,576,V,45,47,0,8
University of Houston/YouGov,January 20-31 2026,2026-01-31,1502,LV,46,44,3,7
Emerson College,January 10-12 2026,2026-01-12,1165,RV,46,46,0,9
Ragnar Research Partners (R),November 12-17 2025,2025-11-17,1000,LV,44,44,0,12
University of Houston/Texas Southern University,September 19 - October 1 2025,2025-10-01,1650,RV,49,46,0,5
UT Tyler,September 17-24 2025,2025-09-24,1032,RV,38,37,8,17
