source,dates,end,n,pop,R,D,O,U
Texas Public Opinion Research,September 19-22 2026,2026-09-22,1007,LV,50,46,3,2
Marist University,September 17-20 2026,2026-09-20,1139,RV,46,49,1,3
Texas Southern University,September 15-19 2026,2026-09-19,1800,LV,49,45,2,4
Emerson College,September 12-14 2026,2026-09-14,1000,LV,49,46,2,4
SoCal Strategies (R),September 12-13 2026,2026-09-13,649,LV,52,44,0,3
ReconMR/Siena University,September 8-11 2026,2026-09-11,614,LV,45,49,2,4
Mason-Dixon,September 8-10 2026,2026-09-10,625,LV,48,41,3,8
Univision/YouGov,August 27-September 4 2026,2026-09-04,1000,RV,47,47,1,5
Fabrizio Ward and Impact Research bipartisan,August 30-September 1 2026,2026-09-01,895,LV,49,46,0,5
Overton Insights (R),August 24-26 2026,2026-08-26,1167,LV,51,49,0,0
Overton Insights (R),August 24-26 2026,2026-08-26,1167,LV,47,46,0,7
Texas Public Opinion Research,August 21-24 2026,2026-08-24,1000,LV,49,42,3,6
University of Texas/Texas Politics Project,August 5-13 2026,2026-08-13,1200,RV,45,40,5,10
Emerson College,August 9-10 2026,2026-08-10,1000,LV,49,45,3,4
GBAO (D),August 4-9 2026,2026-08-09,1000,LV,49,48,0,3
Wedgewood Polls (D),July 30-31 2026,2026-07-31,800,LV,50,44,0,6
Cygnal (R),July 29-31 2026,2026-07-31,800,LV,49,46,0,5
Texas A&M University/ReconMR/Siena,July 27-30 2026,2026-07-30,619,LV,46,45,4,5
Texas Southern University,July 27-30 2026,2026-07-30,1200,LV,49,43,3,5
Beacon Research and Shaw & Co. Research bipartisan,July 23-27 2026,2026-07-27,1005,RV,50,49,0,1
Texas Public Opinion Research,July 15-17 2026,2026-07-17,1048,LV,45,42,0,13
New York Times/Siena,June 19-27 2026,2026-06-27,656,LV,51,44,0,5
SoCal Strategies (R),June 21 2026,2026-06-21,800,LV,54,42,0,4
University of Texas/Texas Politics Project,June 5-12 2026,2026-06-12,1200,RV,47,40,3,10
Quantus Insights (R),June 3-4 2026,2026-06-04,800,LV,49,41,3,7
Texas A&M University/ReconMR,June 1-4 2026,2026-06-04,807,LV,49,43,3,5
Texas Public Opinion Research,May 27-28 2026,2026-05-28,1670,LV,46,41,3,9
Public Policy Polling (D),May 22-23 2026,2026-05-23,643,RV,48,44,0,8
Texas Southern University/YouGov,April 22-May 5 2026,2026-05-05,1223,LV,49,43,3,5
Slingshot Strategies (D),April 17-20 2026,2026-04-20,1018,LV,48,43,2,7
University of Texas/Texas Politics Project,April 10-20 2026,2026-04-20,1200,RV,44,38,5,13
UT Tyler,February 13-22 2026,2026-02-22,1117,RV,49,41,0,10
University of Texas/Texas Politics Project,February 2-16 2026,2026-02-16,1300,RV,45,35,6,14
GBAO (D),January 26-February 3 2026,2026-02-03,1000,LV,46,43,6,5
University of Houston/YouGov,January 20-31 2026,2026-01-31,1502,LV,49,42,3,6
Emerson College,January 10-12 2026,2026-01-12,1165,RV,50,42,0,8
